pin,status,claim_class,from_verdict,from_rule,to_verdict,to_rule,verdict_changed,cause,causing_events,recorder_banner
31-32-103-026-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-002-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-005-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-006-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-008-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-009-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-010-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-012-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-013-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-014-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-015-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-016-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-017-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-018-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-019-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-020-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-021-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-022-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-023-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-024-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-025-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-026-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-027-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-028-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-104-029-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-001-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-002-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-003-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-004-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-006-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-007-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-008-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-012-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-014-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-016-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-018-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-019-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-020-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-021-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-023-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-105-024-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-003-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-004-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-005-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-007-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-008-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-009-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-010-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-013-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-014-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-017-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-018-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-019-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-021-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-32-106-023-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-35-100-038-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-35-100-049-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-35-100-053-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-35-100-054-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-35-413-011-0000,Sold,DISPOSED,CONTRADICTED,D3,AMBIGUOUS,D5,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
31-36-303-020-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
32-19-313-031-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
32-21-409-019-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
32-25-114-011-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
32-29-222-016-0000,Secured Inventory - Active,HELD,SUPPORTED,H2,SUPPORTED,H1,False,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
32-32-415-050-0000,Secured Inventory - Active,HELD,UNSUPPORTED_NO_RECORD,H4,SUPPORTED,H1,True,both,name-variant:SO SUB LAND/BK/DEV=client-alias,
