pin,status,claim_class,claim_date,verdict,reason,rule,citation_count,first_citation,near_miss_strings,tax_sale_rows,scavenger_rows
24-36-432-044-0000,Sold,DISPOSED,2018-07-12,SUPPORTED,,D1,1,wvhk-k5uv 1819713021 2018-07-12 SOUTH SUBURBAN LAND BANK -> RAFAEL  CALDERON,,0,0
25-29-305-050-0000,Sold,DISPOSED,2024-10-01,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2428122079 2024-09-20 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> KELMIN CABRERA  FAJARDO,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,1,0
25-29-317-053-0000,Sold,DISPOSED,2024-06-05,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2416318041 2024-05-02 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> CORNEL AND LETITIA RADU,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,2,0
25-29-318-045-0000,Sold,DISPOSED,2024-08-06,AMBIGUOUS,,D1+NEAR-MISS,1,"wvhk-k5uv 2423210047 2024-07-26 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> PW INVESTMENTS GROUP INC.,",COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,1,0
25-29-323-064-0000,Sold,DISPOSED,2024-10-31,CONTRADICTED,,D3,6,wvhk-k5uv 2401822036 2024-01-11 None -> None,,3,1
25-29-323-065-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-29-328-040-0000,Sold,DISPOSED,2025-08-07,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2523819010 2025-07-10 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> KEI DISCOUNTS CORP.,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,4,1
25-29-328-041-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
25-29-328-042-0000,Sold,DISPOSED,2025-07-11,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,1
25-29-404-063-0000,Sold,DISPOSED,2024-10-08,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2429020133 2024-09-20 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> AMAZING GRACE HEATING & COOLING & RESTORATION INC.,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,3,0
25-29-406-008-0000,Secured Inventory - Active,HELD,,AMBIGUOUS,,H2+NEAR-MISS,1,wvhk-k5uv 2401815027 2023-12-01 COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,C.C. LAND BANK AUTH. DO NOT USE(NO PINS); COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,4,0
25-29-407-055-0000,Sold,DISPOSED,2023-08-11,SUPPORTED,,D1,1,wvhk-k5uv 2322806256 2023-06-23 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> RAMZEY D LLC,,1,0
25-29-408-036-0000,Sold,DISPOSED,2024-07-23,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2420830113 2024-06-11 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> SACE PROPERTIES LLC,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,4,0
25-29-410-042-0000,Sold,DISPOSED,2024-07-31,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2422018041 2024-07-29 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> SHAHAB  MEHKRI,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,1,0
25-29-410-050-0000,Sold,DISPOSED,2024-08-05,AMBIGUOUS,,D1+NEAR-MISS,1,"wvhk-k5uv 2422123031 2024-07-26 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> ACCOUNTABLE HOME BUYERS, INC",COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,2,0
25-29-411-049-0000,Sold,DISPOSED,2024-10-11,AMBIGUOUS,,D5+NEAR-MISS,3,wvhk-k5uv 2401822035 2023-12-01 COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,2,0
25-30-106-012-0000,Sold,DISPOSED,2017-07-01,SUPPORTED,,D1,1,wvhk-k5uv 1719213064 2017-07-10 SOUTH SUBURBAN LAND BANK -> RIGOBERTO ESPARZA,,0,0
25-30-207-023-0000,Sold,DISPOSED,2024-08-27,CONTRADICTED,,D3,8,wvhk-k5uv 2401822037 2023-12-01 None -> None,,4,0
25-30-207-024-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-025-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-026-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-027-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-028-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-029-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-030-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-031-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-207-032-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
25-30-403-021-0000,Sold,DISPOSED,2024-06-18,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2418014617 2024-06-11 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> RENEE L  FITZPATRICK,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,3,0
25-30-417-050-0000,Sold,DISPOSED,2024-07-11,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2419902242 2024-05-02 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> RAWHI ZUGHAYER,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,3,0
25-31-117-041-0000,Sold,DISPOSED,2017-02-01,SUPPORTED,,D1,1,wvhk-k5uv 1704733129 2017-02-13 SOUTH SUBURBAN LAND BANK -> SEYEK HOMES LLC,,0,0
25-32-104-059-0000,Sold,DISPOSED,2026-01-06,AMBIGUOUS,,D5+NEAR-MISS,1,wvhk-k5uv 2401815026 2023-12-01 COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,1,0
25-32-112-029-0000,Sold,DISPOSED,2023-07-07,SUPPORTED,,D1,1,wvhk-k5uv 2319240098 2023-05-18 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> JOANNA  DLUGOPOLSKI,,4,1
25-32-115-051-0000,Secured Inventory - Active,HELD,,AMBIGUOUS,,H2+NEAR-MISS,1,wvhk-k5uv 2403722016 2024-01-11 COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,3,1
25-32-217-053-0000,Sold,DISPOSED,2025-11-03,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 2532111051 2025-10-17 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> 12713 S MAY LLC,COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,3,1
28-01-303-027-0000,Sold,DISPOSED,2023-06-01,CONTRADICTED,,D3,11,wvhk-k5uv 2315845037 2023-05-31 None -> MARCO A. SANCHEZ,,0,0
28-09-404-089-1001,Sold,DISPOSED,2019-12-30,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-10-119-023-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
28-10-119-025-0000,Demolition Phase,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-10-207-025-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
28-10-207-026-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
28-10-207-027-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
28-10-207-028-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
28-10-300-093-1085,Sold,DISPOSED,2018-08-24,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-10-400-051-0000,Listed,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,1
28-10-400-053-0000,Listed,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,1
28-10-404-017-0000,Sold,DISPOSED,2020-05-07,SUPPORTED,,D1,1,wvhk-k5uv 2015021125 2020-03-01 SOUTH SUBURBAN LAND BANK -> FAMILY CAR CENTER LLC,,3,0
28-10-416-045-1003,Sold,DISPOSED,2016-09-01,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 1627413040 2016-09-23 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> HOLDA PROPERTIES L.L.C.,SOUTH SUBN LAND BK & DEV AUTH,0,0
28-11-121-002-0000,Sold,DISPOSED,2021-08-25,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,0
28-11-127-023-0000,Sold,DISPOSED,2018-04-20,SUPPORTED,,D1,1,wvhk-k5uv 1811344011 2018-03-01 SOUTH SUBURBAN LAND BANK -> FOURTH CUZINS LLC,,2,0
28-11-128-003-0000,Sold,DISPOSED,2019-08-21,SUPPORTED,,D1,1,wvhk-k5uv 1923949022 2019-08-05 SOUTH SUBURBAN LAND BANK -> DARREN L. MAIDEN,,0,0
28-11-227-019-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
28-11-227-020-0000,Sold,DISPOSED,2019-09-24,SUPPORTED,,D1,1,wvhk-k5uv 1927649011 2019-09-12 SOUTH SUBURBAN LAND BANK -> MARIA  CUATZO,,4,0
28-11-228-024-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
28-11-228-025-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
28-11-228-026-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,1
28-11-300-041-0000,Sold,DISPOSED,2023-05-03,SUPPORTED,,D1,1,"wvhk-k5uv 2312908046 2023-04-18 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> JEFF DAHLGREN AND JACKIE DAHLGREN AS CO-TRUSTEES OF THE JEFF DAHLGREN AND JACKIE DAHLGREN LIVING TRUST DATED OCTOBER 1, 2020",,0,0
28-11-302-020-0000,Sold,DISPOSED,2024-10-22,CONTRADICTED,,D3,6,wvhk-k5uv 2430424010 2024-10-17 None -> None,,1,0
28-11-302-032-0000,Sold,DISPOSED,2023-12-14,CONTRADICTED,,D3,8,wvhk-k5uv 2334933314 2023-12-14 None -> STEFAN MACA,,1,0
28-11-302-033-0000,Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-11-317-013-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
28-11-402-009-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-11-402-010-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-11-403-025-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
28-11-403-026-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-14-207-014-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-15-300-010-0000,Sold,DISPOSED,2017-02-01,SUPPORTED,,D1,1,"wvhk-k5uv 1704515141 2017-02-01 SOUTH SUBURBAN LAND BANK -> OAK CREST, LLC",,0,0
28-16-418-001-0000,Sold,DISPOSED,2021-11-01,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,0
28-16-419-001-0000,Sold,DISPOSED,2016-03-17,CONTRADICTED,,D3,10,wvhk-k5uv 1606822015 2016-03-01 None -> None,,1,0
28-17-401-011-0000,Sold,DISPOSED,2018-01-09,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-17-412-003-1006,Sold,DISPOSED,2017-01-01,SUPPORTED,,D1,1,wvhk-k5uv 1713922028 2017-05-18 SOUTH SUBURBAN LAND BANK -> KEVIN J KRZEMIEN,,0,0
28-25-117-029-1026,Sold,DISPOSED,2021-04-05,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-25-211-006-0000,Sold,DISPOSED,2021-03-19,SUPPORTED,,D1,1,wvhk-k5uv 2109601538 2021-03-17 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> BYRON GREGORY ENTERPRISES INC.,,0,0
28-25-319-004-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
28-25-401-021-0000,Sold,DISPOSED,2016-01-01,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-25-406-026-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-25-410-001-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
28-26-307-002-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-26-307-011-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-26-307-018-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
28-26-307-037-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-26-311-004-0000,Listed,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,2,0
28-26-402-062-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
28-27-203-026-0000,Sold,DISPOSED,2021-09-16,SUPPORTED,,D1,1,wvhk-k5uv 2125945069 2021-08-27 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> CITY OF OAK FOREST,,0,0
28-27-403-007-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-28-301-027-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
28-30-113-005-0000,Sold,DISPOSED,2023-10-12,CONTRADICTED,,D3,10,wvhk-k5uv 2329755175 2023-10-06 None -> None,,0,0
28-30-204-061-0000,Secured Inventory - Active,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
28-30-213-017-0000,Sold,DISPOSED,2024-04-25,SUPPORTED,,D1,1,wvhk-k5uv 2412010019 2024-04-04 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> SYLWESTER LIWINSKI,,1,0
28-31-103-026-1028,Secured Inventory - Active,HELD,,SUPPORTED,,H2,1,wvhk-k5uv 1835522020 2018-11-29 THOMAS LITVIAK -> SOUTH SUBURBAN LAND BANK,,0,0
28-32-300-031-0000,Secured Inventory - Active,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
28-34-212-024-0000,Prospecting - Evidence Captured,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
28-34-311-006-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
28-35-110-012-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
28-35-203-017-0000,Sold,DISPOSED,2020-11-05,SUPPORTED,,D1,1,wvhk-k5uv 2033933079 2020-10-22 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> ZENAH TAHER,,2,1
28-35-402-011-0000,Sold,DISPOSED,2019-11-25,SUPPORTED,,D1,1,wvhk-k5uv 1933706021 2019-10-09 SOUTH SUBURBAN LAND BANK -> QUAS LLC,,0,0
28-36-221-028-0000,Sold,DISPOSED,2016-11-01,AMBIGUOUS,,D1+NEAR-MISS,1,wvhk-k5uv 1632310053 2016-11-15 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> RUDINE WILBERT,SOUTH SUBN LAND BK & DEV AUTH,0,0
28-36-221-048-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-01-421-041-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
29-02-323-021-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-02-324-006-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-02-326-025-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-02-402-030-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-02-408-053-0000,Sold,DISPOSED,2017-01-01,CONTRADICTED,,D3,11,"wvhk-k5uv 1717247010 2017-06-16 RICHARD  THORTON -> CSMA BLT, LLC",,0,0
29-03-103-037-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
29-03-110-013-0000,Sold,DISPOSED,2020-08-28,SUPPORTED,,D1,1,wvhk-k5uv 2024706326 2020-08-01 SOUTH SUBURBAN LAND BANK -> SUSTAINABLE OPTIONS FOR U,,0,0
29-03-110-025-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-03-113-018-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-03-310-019-0000,Sold,DISPOSED,2016-09-01,SUPPORTED,,D1,1,wvhk-k5uv 1630610071 2016-09-22 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> MICHAEL MOORE,,0,0
29-03-318-028-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-03-400-017-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-03-410-010-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-03-420-017-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-04-410-029-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-09-105-005-0000,Sold,DISPOSED,2017-02-01,SUPPORTED,,D1,1,wvhk-k5uv 1704610098 2017-02-01 SOUTH SUBURBAN LAND BANK -> HARVARD LAND TRUST #14612,,1,0
29-09-106-003-0000,Sold,DISPOSED,2020-03-17,SUPPORTED,,D1,1,wvhk-k5uv 2008046126 2020-03-01 SOUTH SUBURBAN LAND BANK -> HARVARD ENTERPRISE LLC,,0,0
29-09-203-052-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
29-09-209-036-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-09-216-006-0000,Sold,DISPOSED,2018-02-08,SUPPORTED,,D1,1,wvhk-k5uv 1804434052 2018-01-08 SOUTH SUBURBAN LAND BANK -> RMI GROUP INC.,,0,0
29-09-223-004-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-09-305-007-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-09-305-020-0000,Assigned,CLAIM_UNCLEAR,,NOT_CHECKABLE,status-semantics-unresolved,,0,,,0,0
29-09-305-023-0000,Listed,HELD,,SUPPORTED,,H2,1,wvhk-k5uv 2605430150 2026-01-28 VILLAGE OF SOUTH HOLLAND -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,,2,1
29-09-306-050-0000,Secured Inventory - Active,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,0
29-09-316-008-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-09-316-010-0000,In House Renovation Phase,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,0
29-09-316-013-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-09-317-004-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-09-317-013-0000,Listed,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-09-318-003-0000,Sold,DISPOSED,2026-03-06,SUPPORTED,,D1,1,"wvhk-k5uv 2607211012 2026-02-19 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> ABC HOMES, LLC",,0,0
29-09-406-046-0000,Secured Inventory - Active,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,0
29-09-406-050-0000,Secured Inventory - Active,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
29-09-418-035-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
